User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Efficiency
134,5,-75.0,30.0,5120.0,5836.8,145.81967213114754
135,6,-66.0,26.0,11264.0,12595.2,128.79149749223788
136,7,-80.0,29.0,4300.8,4710.4,150.0
137,1,-60.0,5.0,921.6,1024.0,116.66666666666666
138,10,-94.0,27.0,614.4,614.4,50.0
139,0,-96.0,45.0,660.0,660.0,137.9598662207358
140,4,-72.0,20.0,3276.8,3584.0,110.47711154094134
141,5,-78.0,32.0,4505.6,5120.0,130.87431693989072
142,6,-67.0,27.0,11366.4,12697.6,127.53761643181275
143,7,-81.0,28.0,4198.4,4608.0,149.55022488755623
144,1,-59.0,5.0,921.6,1126.4,123.33333333333334
145,10,-95.0,26.0,716.8,716.8,59.99999999999999
146,0,-95.0,47.0,610.0,610.0,128.14938684503903
147,8,-87.0,21.0,125.0,150.0,138.56275303643724
148,4,-71.0,19.0,3379.2,3686.4,114.11992263056095
149,5,-79.0,33.0,4403.2,4915.2,125.90163934426229
150,6,-68.0,28.0,11571.2,12902.4,126.91664676379268
151,7,-82.0,30.0,4096.0,4505.6,143.92803598200902
152,1,-58.0,5.0,819.2,1024.0,116.66666666666666
153,10,-96.0,25.0,614.4,614.4,56.66666666666666
154,0,-94.0,48.0,650.0,650.0,132.6644370122631
155,8,-86.0,22.0,120.0,145.0,134.0080971659919
156,5,-80.0,31.0,4505.6,5017.6,130.84699453551912
157,6,-66.0,25.0,11776.0,13107.2,133.8428469070934
158,7,-83.0,31.0,4096.0,4505.6,142.20389805097454
159,1,-58.0,5.0,819.2,1024.0,116.66666666666666
160,10,-97.0,24.0,512.0,512.0,53.33333333333333
161,0,-97.0,49.0,640.0,640.0,129.933110367893
162,8,-85.0,23.0,115.0,140.0,129.45344129554655
163,4,-70.0,18.0,3481.6,3788.8,117.76273372018053
164,5,-81.0,32.0,4300.8,4812.8,125.8743169398907
165,6,-65.0,24.0,11878.4,13209.6,136.36255075232864
166,7,-84.0,30.0,3993.6,4403.2,141.75412293853074
167,1,-57.0,5.0,716.8,921.6,110.0
168,10,-97.0,23.0,512.0,512.0,56.66666666666666
169,0,-98.0,50.0,630.0,630.0,127.20178372352285
170,8,-84.0,24.0,110.0,135.0,124.89878542510121
171,4,-69.0,19.0,3584.0,3891.2,117.15022566086397
172,5,-82.0,33.0,4198.4,4710.4,122.56830601092895
173,6,-64.0,25.0,11980.8,13312.0,135.10866969190351
174,7,-85.0,29.0,3891.2,4300.8,141.30434782608697
175,1,-57.0,5.0,716.8,819.2,103.33333333333334
176,10,-98.0,22.0,512.0,512.0,60.0
177,0,-98.0,51.0,620.0,620.0,124.47045707915272
178,8,-83.0,25.0,105.0,130.0,120.34412955465586
179,4,-68.0,20.0,3686.4,3993.6,116.5377176015474
180,5,-83.0,34.0,4096.0,4608.0,119.26229508196721
181,6,-63.0,26.0,12083.2,13414.4,133.85478863147839
182,7,-86.0,31.0,3788.8,4198.4,135.68215892053973
183,1,-56.0,5.0,716.8,819.2,103.33333333333334
184,10,-98.0,21.0,512.0,512.0,63.33333333333333
185,0,-99.0,52.0,610.0,610.0,121.73913043478262
186,8,-82.0,26.0,100.0,125.0,115.78947368421053
187,4,-67.0,21.0,3788.8,4096.0,115.92520954223082
188,5,-84.0,35.0,3993.6,4505.6,115.95628415300547
189,6,-63.0,27.0,12185.6,13516.8,132.60090757105326
190,7,-87.0,32.0,3686.4,4096.0,131.784107946027
191,1,-55.0,5.0,716.8,819.2,103.33333333333334
192,10,-99.0,20.0,409.6,409.6,60.000000000000014
193,0,-100.0,53.0,600.0,600.0,119.00780379041248
194,8,-81.0,27.0,95.0,120.0,111.23481781376518
195,4,-66.0,22.0,3891.2,4198.4,115.31270148291425
196,5,-85.0,36.0,3891.2,4403.2,112.65027322404373
197,6,-62.0,28.0,12288.0,13619.2,131.34702651062815
198,7,-88.0,33.0,3584.0,3993.6,127.88605697151425
199,1,-54.0,5.0,614.4,716.8,96.66666666666666
200,10,-100.0,19.0,409.6,409.6,63.33333333333334
201,0,-100.0,54.0,590.0,590.0,116.27647714604237
202,8,-80.0,28.0,90.0,115.0,106.68016194331983
203,4,-65.0,23.0,3993.6,4300.8,114.70019342359768
204,5,-86.0,37.0,3788.8,4300.8,109.34426229508196
205,6,-61.0,29.0,12390.4,13721.6,130.093145450203
206,7,-89.0,34.0,3481.6,3891.2,123.9880059970015
207,1,-54.0,5.0,614.4,716.8,96.66666666666666
208,10,-101.0,18.0,409.6,409.6,66.66666666666667
209,0,-101.0,55.0,580.0,580.0,113.54515050167224
210,8,-79.0,29.0,85.0,110.0,102.12550607287449
211,4,-64.0,24.0,4096.0,4403.2,114.08768536428111
212,5,-87.0,38.0,3686.4,4198.4,106.03825136612022
213,6,-60.0,30.0,12492.8,13824.0,128.8392643897779
214,7,-90.0,35.0,3379.2,3788.8,120.08995502248877
215,1,-53.0,5.0,614.4,614.4,90.0
216,10,-101.0,17.0,409.6,409.6,70.0
217,0,-102.0,56.0,570.0,570.0,110.81382385730211
218,8,-78.0,30.0,80.0,105.0,97.57085020242917
219,4,-63.0,25.0,4198.4,4505.6,113.47517730496455
220,5,-88.0,39.0,3584.0,4096.0,102.73224043715845
221,6,-59.0,31.0,12595.2,13926.4,127.58538332935275
222,7,-91.0,36.0,3276.8,3686.4,116.19190404797601
223,1,-53.0,5.0,614.4,614.4,90.0
224,10,-102.0,16.0,409.6,409.6,73.33333333333333
225,0,-102.0,57.0,560.0,560.0,108.08249721293201
226,8,-77.0,31.0,75.0,100.0,93.0161943319838
227,4,-62.0,26.0,4300.8,4608.0,112.86266924564796
228,5,-89.0,40.0,3481.6,3993.6,99.42622950819673
229,6,-58.0,32.0,12697.6,14028.8,126.33150226892762
230,7,-92.0,37.0,3174.4,3584.0,112.29385307346328
231,1,-52.0,5.0,614.4,614.4,90.0
232,10,-102.0,15.0,307.2,307.2,70.0
233,0,-103.0,58.0,550.0,550.0,105.35117056856187
234,8,-76.0,32.0,70.0,95.0,88.46153846153845
235,4,-61.0,27.0,4403.2,4710.4,112.25016118633138
236,5,-90.0,41.0,3379.2,3891.2,96.12021857923497
237,6,-57.0,33.0,12800.0,14131.2,125.0776212085025
238,7,-93.0,38.0,3072.0,3481.6,108.39580209895053
239,1,-52.0,5.0,614.4,614.4,90.0
240,10,-103.0,14.0,307.2,307.2,73.33333333333334
241,0,-104.0,59.0,540.0,540.0,102.61984392419176
242,8,-75.0,33.0,65.0,90.0,83.90688259109311
243,4,-60.0,28.0,4505.6,4812.8,111.63765312701483
244,5,-91.0,42.0,3276.8,3788.8,92.81420765027323
245,6,-56.0,34.0,12902.4,14233.6,123.82374014807739
246,7,-94.0,39.0,2969.6,3379.2,104.49775112443778
247,1,-51.0,5.0,614.4,614.4,90.0
248,10,-103.0,13.0,307.2,307.2,76.66666666666666
249,0,-105.0,60.0,530.0,530.0,99.88851727982161
250,8,-74.0,34.0,60.0,85.0,79.35222672064776
251,4,-59.0,29.0,4608.0,4915.2,111.02514506769828
252,5,-92.0,43.0,3174.4,3686.4,89.50819672131148
253,6,-55.0,35.0,13004.8,14336.0,122.56985908765225
254,7,-95.0,40.0,2867.2,3276.8,100.59970014992504
255,1,-50.0,5.0,614.4,614.4,90.0
256,10,-104.0,12.0,204.8,204.8,73.33333333333333
257,0,-106.0,61.0,520.0,520.0,97.15719063545151
258,8,-73.0,35.0,55.0,80.0,74.79757085020242
259,4,-58.0,30.0,4710.4,5017.6,110.4126370083817
260,5,-93.0,44.0,3072.0,3584.0,86.20218579234972
261,6,-54.0,36.0,13107.2,14438.4,121.31597802722713
262,7,-96.0,41.0,2764.8,3174.4,96.7016491754123
263,1,-50.0,5.0,614.4,614.4,90.0
264,10,-104.0,11.0,204.8,204.8,76.66666666666667
265,0,-107.0,62.0,510.0,510.0,94.42586399108137
266,8,-72.0,36.0,50.0,75.0,70.24291497975709
267,4,-57.0,31.0,4812.8,5120.0,109.80012894906511
268,5,-94.0,45.0,2969.6,3481.6,82.89617486338798
269,6,-53.0,37.0,13209.6,14540.8,120.062096966802
270,7,-97.0,42.0,2662.4,3072.0,92.80359820089956
271,1,-49.0,5.0,614.4,614.4,90.0
272,10,-105.0,10.0,204.8,204.8,80.0
273,0,-108.0,63.0,500.0,500.0,91.69453734671126
274,8,-71.0,37.0,45.0,70.0,65.68825910931173
275,4,-56.0,32.0,4915.2,5222.4,109.18762088974854
276,5,-95.0,46.0,2867.2,3379.2,79.59016393442622
277,6,-52.0,38.0,13312.0,14643.2,118.80821590637689
278,7,-98.0,43.0,2560.0,2969.6,88.9055472263868
279,1,-49.0,5.0,614.4,614.4,90.0
280,10,-105.0,9.0,102.4,102.4,76.66666666666667
281,0,-109.0,64.0,490.0,490.0,88.96321070234114
282,8,-70.0,38.0,40.0,65.0,61.13360323886641
283,4,-55.0,33.0,5017.6,5324.8,108.57511283043199
284,5,-96.0,47.0,2764.8,3276.8,76.28415300546447
285,6,-51.0,39.0,13414.4,14745.6,117.55433484595176
286,7,-99.0,44.0,2457.6,2867.2,85.00749625187407
287,1,-48.0,5.0,512.0,512.0,83.33333333333333
288,10,-105.0,8.0,102.4,102.4,80.0
289,0,-110.0,65.0,480.0,480.0,86.231884057971
290,8,-69.0,39.0,35.0,60.0,56.578947368421055
291,4,-54.0,34.0,5120.0,5427.2,107.96260477111541
292,5,-97.0,48.0,2662.4,3174.4,72.97814207650273
293,6,-50.0,40.0,13516.8,14848.0,116.30045378552663
294,7,-100.0,45.0,2355.2,2764.8,81.10944527736132
295,1,-48.0,5.0,512.0,512.0,83.33333333333333
296,10,-106.0,7.0,102.4,102.4,83.33333333333334
297,0,-111.0,66.0,470.0,470.0,83.5005574136009
298,8,-68.0,40.0,30.0,55.0,52.024291497975696
299,4,-53.0,35.0,5222.4,5529.6,107.35009671179886
300,5,-98.0,49.0,2560.0,3072.0,69.67213114754098
301,6,-49.0,41.0,13619.2,14950.4,115.04657272510148
302,7,-101.0,46.0,2252.8,2662.4,77.21139430284859
303,1,-47.0,5.0,512.0,512.0,83.33333333333333
304,10,-106.0,6.0,102.4,102.4,86.66666666666667
305,0,-112.0,67.0,460.0,460.0,80.76923076923076
306,8,-67.0,41.0,25.0,50.0,47.469635627530366
307,4,-52.0,36.0,5324.8,5632.0,106.73758865248227
308,5,-99.0,50.0,2457.6,2969.6,66.36612021857923
309,6,-48.0,42.0,13721.6,15052.8,113.79269166467638
310,7,-102.0,47.0,2150.4,2560.0,73.31334332833585
311,1,-47.0,5.0,512.0,512.0,83.33333333333333
312,10,-107.0,5.0,102.4,102.4,90.00000000000001
313,0,-113.0,68.0,450.0,450.0,78.03790412486065
314,8,-66.0,42.0,20.0,45.0,42.914979757085014
315,4,-51.0,37.0,5427.2,5734.4,106.12508059316569
316,5,-100.0,51.0,2355.2,2867.2,63.06010928961748
317,6,-47.0,43.0,13824.0,15155.2,112.53881060425125
318,7,-103.0,48.0,2048.0,2457.6,69.41529235382308
319,1,-46.0,5.0,512.0,512.0,83.33333333333333
320,10,-107.0,4.0,102.4,102.4,93.33333333333334
321,0,-114.0,69.0,440.0,440.0,75.30657748049052
322,8,-65.0,43.0,15.0,40.0,38.36032388663968
323,4,-50.0,38.0,5529.6,5836.8,105.51257253384915
324,5,-101.0,52.0,2252.8,2764.8,59.754098360655746
325,6,-46.0,44.0,13926.4,15257.6,111.28492954382612
326,7,-104.0,49.0,1945.6,2355.2,65.51724137931035
327,1,-46.0,5.0,512.0,512.0,83.33333333333333
328,10,-108.0,3.0,102.4,102.4,96.66666666666667
329,0,-115.0,70.0,430.0,430.0,72.57525083612039
330,8,-64.0,44.0,10.0,35.0,33.80566801619433
331,4,-49.0,39.0,5632.0,5939.2,104.90006447453256
332,5,-102.0,53.0,2150.4,2662.4,56.448087431694
333,6,-45.0,45.0,14028.8,15360.0,110.03104848340101
334,7,-105.0,50.0,1843.2,2252.8,61.61919040479762
335,1,-45.0,5.0,512.0,512.0,83.33333333333333
336,10,-108.0,2.0,102.4,102.4,100.0
337,0,-116.0,71.0,420.0,420.0,69.84392419175029
338,8,-63.0,45.0,5.0,30.0,29.25101214574898
339,4,-48.0,40.0,5734.4,6041.6,104.287556415216
340,5,-103.0,54.0,2048.0,2560.0,53.14207650273225
341,6,-45.0,46.0,14131.2,15462.4,108.77716742297588
342,7,-106.0,51.0,1740.8,2150.4,57.721139430284865
343,1,-44.0,5.0,512.0,512.0,83.33333333333333
344,10,-109.0,1.0,102.4,102.4,103.33333333333334
345,0,-117.0,72.0,410.0,410.0,67.11259754738015
346,8,-62.0,46.0,0.0,25.0,24.69635627530365
347,4,-47.0,41.0,5836.8,6144.0,103.67504835589942
348,5,-104.0,55.0,1945.6,2457.6,49.8360655737705
349,6,-44.0,47.0,14233.6,15564.8,107.52328636255073
350,7,-107.0,52.0,1638.4,2048.0,53.82308845577211
351,1,-44.0,5.0,512.0,512.0,83.33333333333333
352,10,-109.0,0.0,102.4,102.4,106.66666666666667
353,0,-118.0,73.0,400.0,400.0,64.38127090301003
354,8,-61.0,47.0,0.0,20.0,20.141700404858298
355,4,-46.0,42.0,5939.2,6246.4,103.06254029658285
356,5,-105.0,56.0,1843.2,2355.2,46.53005464480874
357,6,-43.0,48.0,14336.0,15667.2,106.26940530212562
358,7,-108.0,53.0,1536.0,1945.6,49.925037481259366
359,1,-43.0,5.0,512.0,512.0,83.33333333333333
360,10,-110.0,0.0,102.4,102.4,106.66666666666667
361,0,-119.0,74.0,390.0,390.0,61.64994425863992
362,8,-60.0,48.0,0.0,15.0,15.587044534412957
363,4,-45.0,43.0,6041.6,6348.8,102.45003223726629
364,5,-106.0,57.0,1740.8,2252.8,43.22404371584699
365,6,-43.0,49.0,14438.4,15769.6,105.0155242417005
366,7,-109.0,54.0,1433.6,1843.2,46.02698650674663
367,1,-42.0,5.0,409.6,409.6,76.66666666666667
368,10,-110.0,0.0,102.4,102.4,106.66666666666667
369,0,-120.0,75.0,380.0,380.0,58.918617614269785
370,8,-59.0,49.0,0.0,10.0,11.032388663967616
371,4,-44.0,44.0,6144.0,6451.2,101.8375241779497
372,5,-107.0,58.0,1638.4,2150.4,39.91803278688525
373,6,-42.0,50.0,14540.8,15872.0,103.76164318127537
374,7,-110.0,55.0,1331.2,1740.8,42.12893553223388
375,1,-42.0,5.0,409.6,409.6,76.66666666666667
376,10,-111.0,0.0,102.4,102.4,106.66666666666667
377,0,-121.0,76.0,370.0,370.0,56.18729096989968
378,8,-58.0,50.0,0.0,5.0,6.477732793522261
379,4,-43.0,45.0,6246.4,6553.6,101.22501611863315
380,5,-108.0,59.0,1536.0,2048.0,36.612021857923494
381,6,-41.0,51.0,14643.2,15974.4,102.50776212085024
382,7,-111.0,56.0,1228.8,1638.4,38.23088455772115
383,1,-41.0,5.0,409.6,409.6,76.66666666666667
384,10,-111.0,0.0,102.4,102.4,106.66666666666667
385,0,-122.0,77.0,360.0,360.0,53.45596432552953
386,8,-57.0,51.0,0.0,0.0,1.923076923076934
387,4,-42.0,46.0,6348.8,6656.0,100.61250805931657
388,5,-109.0,60.0,1433.6,1945.6,33.30601092896175
389,6,-41.0,52.0,14745.6,16076.8,101.25388106042512
390,7,-112.0,57.0,1126.4,1536.0,34.332833583208405
391,1,-40.0,5.0,409.6,409.6,76.66666666666667
392,10,-112.0,0.0,102.4,102.4,106.66666666666667
393,0,-123.0,78.0,350.0,350.0,50.72463768115942
394,8,-56.0,52.0,0.0,0.0,0.0
395,4,-41.0,47.0,6451.2,6758.4,100.0
396,5,-110.0,61.0,1331.2,1843.2,30.0
397,6,-40.0,53.0,14848.0,16179.2,100.0
398,7,-113.0,58.0,1024.0,1433.6,30.434782608695656
399,1,-40.0,5.0,409.6,409.6,76.66666666666667
400,10,-113.0,0.0,102.4,102.4,106.66666666666667
401,6,-81.25684793159199,28.182322111084837,6856.822907634369,14629.779796363791,137.24918918812332
402,6,-40.42460930332299,46.19428025841081,13709.554402674728,9062.271931053809,68.85284730697458
403,6,-82.75665525828643,37.39903451295666,5656.4122220008185,3501.4175322328515,51.077258993647646
404,6,-75.94353149153551,34.68750481825769,9076.910825768104,5057.333834990834,65.81012183578815
405,6,-45.981894869545066,32.69809903586089,11465.022209240517,4948.929989285694,68.89369783788797
406,6,-60.53670177323672,48.84096840315543,12291.576076415337,7024.240070945089,51.26247907536504
407,6,-78.99934831810211,45.66493017716131,622.1504246430345,11406.505914038196,84.3408045832077
408,6,-49.015055082645794,22.139365607571424,10406.934554410123,4732.611644698559,87.47882129710965
409,6,-84.21816117177238,41.89835347098925,11953.7088126198,9066.894903947134,76.98694310414032
410,6,-50.101578370791486,51.57958067042831,879.7401113371232,5450.287348860855,36.367037984319914
411,6,-53.858714148633744,35.81861401071157,12092.187181707155,9362.020377367257,90.28225387433852
412,6,-70.88529092717548,24.37805935136937,4484.907484229492,11261.8471001012,123.61060817519353
413,6,-71.17867583094318,31.985533691265417,14504.561412848832,9734.521813022013,99.8168285710007
414,6,-42.64727622651413,29.275988961948485,12971.117081893222,1337.20352656993,53.027239527556624
415,6,-83.48192897586627,34.392148599650454,7084.054355792033,15996.673338577511,133.98099730204999
416,6,-45.95978496004221,40.44205413316132,6810.466265485016,11245.484937717278,93.20005320921854
417,6,-56.101466127573545,52.42511136053278,14472.5495141248,7610.864206644782,48.12573717149078
418,6,-49.88877084264364,43.31958506251802,12459.017512706136,15515.556076487916,114.16309986294631
419,6,-40.08828535422735,24.391204673526936,11197.800744957543,5720.300489204539,89.33475117293781
420,6,-79.70212094956781,45.6391385746396,7703.190596702218,2299.253024456974,28.099584123548624
421,6,-42.97728249850266,21.02700205383151,9726.829447040343,941.1005835397136,66.14314247623015
422,6,-54.89000487162593,29.33820941894767,14131.68871076496,3777.043503522665,67.98994514453022
423,6,-56.52292340828112,31.07022235287773,1209.124510454557,14845.288484983694,133.13233159048565
424,6,-40.23091023630721,20.77543314086732,4027.505429013263,15457.15499458914,156.33827159871979
425,6,-61.16058402480585,42.55276515183988,4253.646032734448,3921.434201044417,43.949267579373554
426,6,-74.76194628983099,49.535121260272845,5638.02109197007,5910.6626166364495,43.06998466089297
427,6,-69.52569523478829,32.9130565384496,5050.059348196931,4120.286786173249,63.36646018837819
428,6,-57.09655138944923,37.315227740015175,361.7861647134255,12647.668699286893,107.76630843176142
429,6,-77.07682919269696,35.12687672084185,10868.110899806275,4693.018672897324,62.7293680847286
430,6,-72.7828604904354,35.40470328512613,5760.733812901271,11617.234364687834,105.00218845367526
431,6,-79.11635631883289,50.02262103169791,7672.6968299447935,7682.916947016205,53.10407959110463
432,6,-50.77037559306384,30.72125398591927,6673.528708053209,4542.878068725517,70.11387847073476
433,6,-80.2102893561142,32.176142953878234,9172.128534973612,8014.981388518697,88.82909544144545
434,6,-43.368244454966025,52.809487132039415,5761.859548853967,12032.203994640397,74.72780769406805
435,6,-49.5123595438347,33.38381230839318,12348.496327933652,880.9460051268438,42.45660421344243
436,6,-46.31496253900762,38.15458337757738,4849.874576983102,1962.1940338589184,40.138100492878664
437,6,-71.899782013038,40.58536525561996,11777.491006958297,12328.653715529204,99.6244777104124
438,6,-67.72482755575876,19.10825750157637,8899.012966201391,7627.556604638667,111.09089754610915
439,6,-61.47254946338625,44.9256695613345,10469.449230787724,12197.388330903868,90.6239024542065
440,6,-47.31242700119419,40.53133621613175,6767.965220583551,6163.828889594399,61.62302217994131
441,6,-49.27005924589631,52.03925969718004,1865.169239253862,15342.702649253437,96.64251537471554
442,6,-82.62432461974835,20.41616581588569,9479.718064817076,5895.896681612428,97.92014510094033
443,6,-72.30752403324936,32.48882439202027,11175.910926401832,5353.285936984779,71.78778891705574
444,6,-40.08136956980386,41.11788589480205,2521.072139417079,14149.924216927426,109.87658554705835
